
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
85          85  2016-2017     Tractors/Bulldozers               Govt - Tractors  Battagram         22
86          86  2016-2017     Tractors/Bulldozers              Govt - Bulldozer  Battagram          8
87          87  2016-2017     Tractors/Bulldozers                Pvt - Tractors  Battagram        541
88          88  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer  Battagram          0
89          89  2016-2017  Agricultural Machinery        Wheat Threshers - Govt  Battagram          4
90          90  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt  Battagram        115
91          91  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt  Battagram          0
92          92  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt  Battagram         18
93          93  2016-2017  Agricultural Machinery         Maize Shellers - Govt  Battagram          1
94          94  2016-2017  Agricultural Machinery          Maize Shellers - Pvt  Battagram         15
95          95  2016-2017  Agricultural Machinery        Wheat Harvester - Govt  Battagram          2
96          96  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt  Battagram         10
97          97  2016-2017                   Wheat            Area (in Hectares)  Battagram       7861
98          98  2016-2017                   Wheat        Production (in Tonnes)  Battagram      17254
99          99  2016-2017                   Wheat       Yield per Hectare in Kg  Battagram       2195
100        100  2016-2017               Sugarcane            Area (in Hectares)  Battagram          0
101        101  2016-2017               Sugarcane        Production (in Tonnes)  Battagram          0
102        102  2016-2017               Sugarcane       Yield per Hectare in Kg  Battagram          0
103        103  2016-2017                    Rice            Area (in Hectares)  Battagram       1764
104        104  2016-2017                    Rice        Production (in Tonnes)  Battagram       3761
105        105  2016-2017                    Rice       Yield per Hectare in Kg  Battagram       2132
106        106  2016-2017                   Maize            Area (in Hectares)  Battagram      19108
107        107  2016-2017                   Maize        Production (in Tonnes)  Battagram      30699
108        108  2016-2017                   Maize       Yield per Hectare in Kg  Battagram       1607
109        109  2016-2017              Fertilizer             Total (in Tonnes)      Buner       4742
110        110  2016-2017          Area Irrigated                  Canal - Govt      Buner          0
111        111  2016-2017          Area Irrigated                   Canal - Pvt      Buner       4314
112        112  2016-2017          Area Irrigated                         Tanks      Buner          0
113        113  2016-2017          Area Irrigated                     Tubewells      Buner          0
114        114  2016-2017          Area Irrigated                    Left Pumps      Buner          0
115        115  2016-2017          Area Irrigated                         Wells      Buner          0
116        116  2016-2017          Area Irrigated                        Others      Buner          0
117        117  2016-2017               Tubewells                 Govt - Deisel      Buner          0
118        118  2016-2017               Tubewells                  Govt - Elect      Buner          0
119        119  2016-2017               Tubewells                  Pvt - Deisel      Buner          0
120        120  2016-2017               Tubewells                   Pvt - Elect      Buner          0
121        121  2016-2017     Tractors/Bulldozers               Govt - Tractors      Buner          2
122        122  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Buner          0
123        123  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Buner         45
124        124  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Buner          0
125        125  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Buner          4
126        126  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Buner         14
127        127  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Buner          0
128        128  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Buner          0
129        129  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Buner          0
130        130  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Buner          7
131        131  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Buner          0
132        132  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Buner          0
133        133  2016-2017                   Wheat            Area (in Hectares)      Buner      50548
134        134  2016-2017                   Wheat        Production (in Tonnes)      Buner      72536
135        135  2016-2017                   Wheat       Yield per Hectare in Kg      Buner       1435
136        136  2016-2017               Sugarcane            Area (in Hectares)      Buner         66
137        137  2016-2017               Sugarcane        Production (in Tonnes)      Buner       1770
138        138  2016-2017               Sugarcane       Yield per Hectare in Kg      Buner      26818
139        139  2016-2017                    Rice            Area (in Hectares)      Buner        346
140        140  2016-2017                    Rice        Production (in Tonnes)      Buner        686
141        141  2016-2017                    Rice       Yield per Hectare in Kg      Buner       1983
142        142  2016-2017                   Maize            Area (in Hectares)      Buner      47937
143        143  2016-2017                   Maize        Production (in Tonnes)      Buner      75510
144        144  2016-2017                   Maize       Yield per Hectare in Kg      Buner       1575
145        145  2016-2017              Fertilizer             Total (in Tonnes)  Charsadda      14704
146        146  2016-2017          Area Irrigated                  Canal - Govt  Charsadda       1250
147        147  2016-2017          Area Irrigated                   Canal - Pvt  Charsadda       2100
148        148  2016-2017          Area Irrigated                         Tanks  Charsadda         40
149        149  2016-2017          Area Irrigated                     Tubewells  Charsadda       4255
150        150  2016-2017          Area Irrigated                    Left Pumps  Charsadda       1050
151        151  2016-2017          Area Irrigated                         Wells  Charsadda       1100
152        152  2016-2017          Area Irrigated                        Others  Charsadda       3214
153        153  2016-2017               Tubewells                 Govt - Deisel  Charsadda         10
154        154  2016-2017               Tubewells                  Govt - Elect  Charsadda         28
155        155  2016-2017               Tubewells                  Pvt - Deisel  Charsadda        395
156        156  2016-2017               Tubewells                   Pvt - Elect  Charsadda          8
157        157  2016-2017     Tractors/Bulldozers               Govt - Tractors  Charsadda          8
158        158  2016-2017     Tractors/Bulldozers              Govt - Bulldozer  Charsadda          0
159        159  2016-2017     Tractors/Bulldozers                Pvt - Tractors  Charsadda       1920
160        160  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer  Charsadda          0
161        161  2016-2017  Agricultural Machinery        Wheat Threshers - Govt  Charsadda          5
162        162  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt  Charsadda        480
163        163  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt  Charsadda          0
164        164  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt  Charsadda          0
165        165  2016-2017  Agricultural Machinery         Maize Shellers - Govt  Charsadda          2
166        166  2016-2017  Agricultural Machinery          Maize Shellers - Pvt  Charsadda        668
167        167  2016-2017  Agricultural Machinery        Wheat Harvester - Govt  Charsadda          0
168        168  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt  Charsadda          0
169        169  2016-2017                   Wheat            Area (in Hectares)  Charsadda      40446
170        170  2016-2017                   Wheat        Production (in Tonnes)  Charsadda     107690
171        171  2016-2017                   Wheat       Yield per Hectare in Kg  Charsadda       2663
172        172  2016-2017               Sugarcane            Area (in Hectares)  Charsadda      31115
173        173  2016-2017               Sugarcane        Production (in Tonnes)  Charsadda    1442903
174        174  2016-2017               Sugarcane       Yield per Hectare in Kg  Charsadda      46373
175        175  2016-2017                    Rice            Area (in Hectares)  Charsadda        121
